id;titulo;argumento;categoria;duracion;fecha;caratula;fondo;trailer
1;Tenet;Una acción épica que gira en torno al espionaje internacional, los viajes en el tiempo y la evolución, en la que un agente secreto debe prevenir la Tercera Guerra Mundial.;Acción;2h 30m;26/08/2020;oh8XmxWlySHgGLlx8QOBmq9k72j.jpg;wzJRB4MKi3yK138bJyuL9nx47y6.jpg;9UfIRXjoO3I
2;Vengadores: Endgame;"Después de los eventos devastadores de 'Vengadores: Infinity War', el universo está en ruinas debido a las acciones de Thanos. Con la ayuda de los aliados que quedaron, los Vengadores deberán reunirse una vez más para intentar deshacer sus acciones y restaurar el orden en el universo de una vez por todas, sin importar cuáles sean las consecuencias... Cuarta y última entrega de la saga ""Vengadores"".";Aventura;3h 1m;25/04/2019;br6krBFpaYmCSglLBWRuhui7tPc.jpg;orjiB3oUIsyz60hoEqkiGpy5CeO.jpg;UQ3bqYKnyhM
3;Avatar;Año 2154. Jake Sully, un ex-marine condenado a vivir en una silla de ruedas, sigue siendo un auténtico guerrero. Por ello ha sido designado para ir a Pandora, donde algunas empresas están extrayendo un mineral extraño que podría resolver la crisis energética de la Tierra. Para contrarrestar la toxicidad de la atmósfera de Pandora, se ha creado el programa Avatar, gracias al cual los seres humanos mantienen sus conciencias unidas a un avatar: un cuerpo biológico controlado de forma remota que puede sobrevivir en el aire letal. Esos cuerpos han sido creados con ADN humano mezclado con ADN de los nativos de Pandora, los Na'vi. Convertido en avatar, Jake puede caminar otra vez. Su misión consiste en infiltrarse entre los Na'vi, que se han convertido en el mayor obstáculo para la extracción del mineral. Pero cuando Neytiri, una bella Na'vi, salva la vida de Jake, todo cambia: Jake, tras superar ciertas pruebas, es admitido en su clan.;Acción;2h 41m;18/12/2009;7paC3UJ0P2P3DeykgQhUD1hnQJO.jpg;jlQJDD0L5ZojjlS0KYnApdO0n19.jpg;kbA9TfGphOI
4;Titanic;Durante las labores de recuperación de los restos del famoso trasatlántico Titanic, una anciana norteamericana se pone en contacto con la expedición para acudir a una plataforma flotante instalada en el Mar del Norte y asistir in situ a la recuperación de sus recuerdos. A través de su memoria reviviremos los acontecimientos que marcaron el siniestro más famoso del siglo XX: el hundimiento del trasatlántico más lujoso del mundo, la máquina más sofisticada de su tiempo, considerada «insumergible», que sucumbió a las heladas aguas del Atlántico en abril de 1912, llevándose consigo la vida de 1.500 personas, más de la mitad del pasaje. En los recueros de la anciana hay cabida para algo más que la tragedia, la historia de amor que vivió con un joven pasajero de tercera clase, un pintor aficionado que había ganado su pasaje al ganar a las cartas en una taberna de Southampton.;Drama;3h 7m;08/01/1998;zraTDtulFw2wrpyuYf646k95MNq.jpg;yDI6D5ZQh67YU4r2ms8qcSbAviZ.jpg;FiRVcExwBVA
5;Star Wars: El despertar de la Fuerza;Treinta años después de la victoria de la Alianza Rebelde sobre la segunda Estrella de la Muerte (hechos narrados en el Episodio VI: El retorno del Jedi), la galaxia está todavía en guerra. Una nueva República se ha constituido, pero una siniestra organización, la Primera Orden, ha resurgido de las cenizas del Imperio Galáctico. A los héroes de antaño, que luchan ahora en la Resistencia, se suman nuevos héroes: Poe Dameron, un piloto de caza, Finn, un desertor de la Primera Orden, Rey, una joven chatarrera, y BB-8, un androide rodante. Todos ellos luchan contra las fuerzas del Mal: el Capitán Phasma, de la Primera Orden, y Kylo Ren, un temible y misterioso personaje que empuña un sable de luz roja.;Acción;2h 16m;18/12/2015;wfNIkgRTx0Ak9mF8rw28fQzc4RO.jpg;k6EOrckWFuz7I4z4wiRwz8zsj4H.jpg;82R2u7OuGOA
6;Vengadores: Infinity War;Después de haber adquirido la Gema del Poder que había quedado bajo custodia de los Nova Corps en el planeta Xandar, el malvado titán intergaláctico Thanos, intercepta la nave espacial que transportaba a los sobrevivientes de la destrucción de Asgard y la ataca. Durante el asalto a la nave, Thanos y sus lugartenientes, Ebony Maw, Cull Obsidian, Próxima Midnight y Corvus Glaive, exterminan a la mitad de la tripulación. Thanos somete a Thor y amenaza a Loki con matar a su hermano adoptivo si no le entrega el Teseracto, al principio Loki finge que no le importa la vida de su hermano, pero al ver la determinación de Thanos, cede ante la presión y le muestra el Teseracto para ganar tiempo hasta que llega Hulk y comienza a pelear contra el guerrero extraterrestre, no obstante, el titán demostró tener más habilidad en la lucha mano a mano y derrota rápidamente a Hulk. Al ver esto, Heimdall quien yacía malherido en el suelo, usa lo que le queda de energía oscura para enviar a Bruce Banner / Hulk de regreso a la Tierra invocando el Bifröst, eso enfadó a Thanos y en represalia asesina a Heimdall. Luego extrae la Gema del Espacio del Teseracto y mata a Loki. Una vez que cumple su cometido, Thanos se va con sus lugartenientes y destruye la nave espacial.;Aventura;2h 36m;27/04/2018;ksBQ4oHQDdJwND8H90ay8CbMihU.jpg;lmZFxXgJE3vgrciwuDib0N8CfQo.jpg;-f5PwE_Q8Fs
7;Jurassic World;Veintidós años después de lo ocurrido en Jurassic Park, la isla Nublar ha sido transformada en un parque temático, Jurassic Wold, con versiones «domesticadas» de algunos de los dinosaurios más conocidos. Cuando todo parece ir a la perfección y ser el negocio del siglo, un nuevo dinosaurio de especie todavía desconocida y que es mucho más inteligente de lo que se pensaba, comienza a causar estragos entre los visitantes del Parque.;Acción;2h 4m;11/06/2015;sOgfattHPWE5sWdVCGHQ08GEbaP.jpg;yOCRqvrRrxbs5FYq2pX1KtLJwmR.jpg;hv9eSCijf6E
8;El rey león;Simba es el hijo del rey de los leones, Mufasa, y heredero de todo el reino. Pero cuando su padre es brutalmente asesinado por su tío Scar, decidirá huir, dejando vía libre para que su tío tome el puesto de su padre como líder de la manada. En su camino, Simba se encuentra con el suricato Timón y el jabalí Pumba, que le enseñarán a vivir la vida sin preocupaciones. Pero el joven león se verá obligado a decidir entre su vida libre de problemas o su destino como rey .;Aventura;1h 58m;18/07/2019;3A8ca8WOBacCRujSKJ2tCVKsieQ.jpg;2XWhIg0aWX83ntm5Oq8w15vfB9c.jpg;mb79ctR-E-c
9;Los Vengadores;"Cuando un enemigo inesperado surge como una gran amenaza para la seguridad mundial, Nick Fury, director de la Agencia SHIELD, decide reclutar a un equipo para salvar al mundo de un desastre casi seguro. Adaptación del cómic de Marvel ""Los Vengadores"", el legendario grupo de superhéroes formado por Ironman, Hulk, Thor y el Capitán América entre otros.";Ciencia Ficción;2h 23m;27/04/2012;tyKKKSvjEgDVQ6vtm8vzL5Zx06c.jpg;7QTdhc1OoYItyQFFf6qNmFG6ro6.jpg;HQIiYqOVTWo
10;Harry Potter y las Reliquias de la Muerte: parte 2;Después de enterrar a Dobby en la playa, Harry inmediatamente confronta al duende Griphook y le pregunta por qué Bellatrix Lestrange cree que la Espada de Gryffindor debería estar en su bóveda del banco Gringotts. Este responde que en dicha bóveda hay una réplica convincente de la misma espada y que sólo un duende puede reconocer si es falsa o no, Hermione le pregunta sobre quién llevó dicha réplica a la bóveda y Griphook les responde que fue un profesor de Hogwarts quien la llevó el verano pasado y que actualmente es el director, siendo Severus Snape quien lo hizo, aunque el grupo se pregunta por qué Snape dejaría una espada falsa a la bóveda de Bellatrix. Sabiendo cómo Bellatrix reaccionó al creer que habían estado en la bóveda, Harry sospecha que un Horrocrux de Voldemort estaba guardado allí, y él junto con Griphook, Ron y Hermione preparan un plan para entrar a Gringotts y robarlo. Posteriormente Harry se reúne con Ollivander, y le pide verificar unas varitas que portaban, siendo la primera varita en analizar la que pertenecía de Bellatrix, aunque le recomienda usarla con cuidado, luego analiza la segunda varita siendo esta la que pertenecía a Draco Malfoy, aunque también le comunica que como Harry lo desarmó ahora su lealtad ha cambiado hacia él, después le pregunta sobre lo que sabe acerca de las Reliquias de la Muerte y si cree que existen. Aunque en un principio Ollivander admite no creer que dichas Reliquias existan y menciona que solo había escuchado rumores sobre una de ellas, la Varita de Saúco. Le advierte a Harry que si esta llegase a las manos de Voldemort, Harry no podría vencer al Señor Tenebroso, pero Harry le menciona que ya es demasiado tarde ya que Voldemort la encontró y ahora está en su poder.;Fantasía;2h 10m;15/07/2011;aM1TuUiPtV8OAZyu61CTdy9Ymtk.jpg;n5A7brJCjejceZmHyujwUTVgQNC.jpg;Bfpwc-XnhR0
